Order;Name;Extension;Date created;Folder Path;title;alt;meta;category
1;IMG_0028.JPEG;.JPEG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Concert du GP Explorer Last Race;Ecran de la scène du GP Explorer Last Race organisé par Squeezie.;Circuit des 24h du Mans · 4 octobre 2025;Culture
2;IMG_0043.JPEG;.JPEG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;SDM au GP Explorer Last Race;Pendant la course, le rappeur SDM suit l'événement depuis sa loge.;Circuit des 24h du Mans · 5 octobre 2025;Culture
3;IMG_0157.JPG;.JPG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Discours d'ouverture du QG de campagne de Rachida Dati;"Rachida Dati prononce le discours de l'ouverture du QG de campagne municipale de Paris 2026 avec son mouvement ""Changer Paris""";Paris 12ème · 16 octobre 2025;Politique
4;IMG_0159.JPG;.JPG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Discours d'ouverture du QG de campagne de Rachida Dati;"Rachida Dati prononce le discours de l'ouverture du QG de campagne municipale de Paris 2026 avec son mouvement ""Changer Paris""";Paris 12ème · 16 octobre 2025;Politique
5;IMG_0170.JPG;.JPG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Ouverture du QG de campagne municipale de Rachida Dati pour Paris;"Ouverture du QG de campagne municipale de Paris 2026 avec son mouvement ""Changer Paris"", de nombreux partisans y sont conviés.";Paris 12ème · 16 octobre 2025;Politique
6;IMG_0178.JPEG;.JPEG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;"Dernière de ""Lamomali Tour"" de 'M' à Bercy";Le chanteur 'M' clotûre sa tournée à l'Accor Arena Bercy à Paris.;Bercy, Paris · 17 décembre 2025;Culture
7;IMG_0436.JPEG;.JPEG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Porte Ouverte EFJ : salon des écoles de journalisme;Le stand EFJ au salon des écoles de journalisme et des métiers de l'information.;Paris 15ème · 8 novembre 2025;EFJ
8;IMG_0546.JPG;.JPG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Campagne de Dati : Tractage;Les partisans de Rachida Dati tractes dans l'ensemble des arrondissements de Paris, içi Paris centre représenter par Aurélien Veron.;Paris 1er · 19 octobre 2025;Politique
9;IMG_0610.JPEG;.JPEG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;200 ans du Figaro : Concert de Patrick Bruel;Patrick Bruel anime la scène du Grand Palais pour l'exposition des 200 du Figaro à Paris.;Grand Palais, Paris ·15 janvier 2026;Culture
10;IMG_0631.JPEG;.JPEG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;200 ans du Figaro;A l'occasion de leurs 200 ans, Le Figaro a organisé une exposition au Grand Palais réservée à leurs abonnés;Grand Palais, Paris ·15 janvier 2026;Culture
11;IMG_0829.JPG;.JPG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Campagne de Dati : Visite des bars LGBT+;Rachida Dati et son élu à Paris Centre Aurélien Veron visitent les réstaurateurs LGBTQIA+;Paris · 28 octobre 2025;Politique
12;IMG_0865.JPG;.JPG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Campagne de Dati : Visite des bars LGBT+;Rachida Dati et son élu à Paris Centre Aurélien Veron visitent les réstaurateurs LGBTQIA+.;Paris · 28 octobre 2025;Politique
13;IMG_0869.JPEG;.JPEG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Campagne de Dati : Rencontre des commercants du 12ème;Rachida Dati et son élue à Paris 12ème Valérie Montandon visite les commercants.;Paris 12ème · 29 novembre 2025;Politique
14;IMG_0901.JPG;.JPG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Campagne de Dati : Visite d'un camps de sans abris à Paris Centre;Rachida Dati et son élu à Paris Centre Aurélien Veron visitent des sans abris à Paris Centre devant un stade de sport municipale.;Paris Centre · 28 octobre 2025;Politique
15;IMG_0910.JPG;.JPG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Campagne de Dati : Visite d'un camps de sans abris à Paris Centre;Rachida Dati et son élu à Paris Centre Aurélien Veron visitent des sans abris à Paris Centre devant un stade de sport municipale.;Paris Centre · 28 octobre 2025;Politique
16;IMG_1036.JPEG;.JPEG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Reportage à Rungis : Emarquement de viande;Lors d'un reportage sur la vie nocturne de Rungis, des bouchers chargent leur camion de viande.;Rungis · 9 décembre 2025;Société
17;IMG_1097.JPG;.JPG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Halloween à Lille;Les jeunes tournent en dérision le cambriolage des bijoux du Louvre à Paris lors de la fête d'Halloween à Lille.;Lille · 1 novembre 2025;Société
18;IMG_1238.JPEG;.JPEG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Musée juif de Berlin;Installation Shalechet de Menashe Kadishman au musée juif de Berlin.;Berlin · 27 décembre 2025;Culture
19;IMG_1266.JPEG;.JPEG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Plafond du parlement de Brelin;Visite du Reichstag à Berlin lieu du parlement berlinois.;Berlin · 27 décembre 2025;Culture
20;IMG_1411.JPEG;.JPEG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Fort épisode neigeux à Paris;Grosse vague de neige à Paris, la capitale est au ralenti, presque aucune voiture dans les rues et des embouteillages historiques en périphérie.;Paris · 7 janvier 2026;Société
21;IMG_1427.JPEG;.JPEG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Fort épisode neigeux à Paris;Grosse vague de neige à Paris, la capitale est au ralenti, presque aucune voiture dans les rues et des embouteillages historiques en périphérie.;Paris · 7 janvier 2026;Société
22;IMG_1584.JPEG;.JPEG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Conférence de Média En Seine;Conférence sur les évolutions du métier de journaliste nottament les questions IA, au Studio 104 de FranceInfo.;Paris · 15 janvier 2026;EFJ
23;IMG_1691.JPEG;.JPEG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Procès en Appel de Marine Le Pen;Marine Le Pen impliqué dans l'affaire des emplois fictifs d'eurodéputés RN et FN au Palais de Justice. Içi le carré presse devant la salle d'audience.;Paris · 20 janvier 2026;Politique
24;IMG_1846.JPEG;.JPEG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;;;;
25;IMG_1847.JPEG;.JPEG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;;;;
26;IMG_1917.JPG;.JPG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Reportage à Rungis : Un boucher;Lors d'un reportage sur la vie nocturne de Rungis, un boucher se balade, blouse tachée de sang.;Rungis · 9 décembre 2025;Société
27;IMG_3548.JPEG;.JPEG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Stand de la série HPI à la Braderie de Lille;Opération promotionnelle de la série HPI mettant en vente de nombreux accessoires des tournages.;Lille · 7 novembre 2025;Culture
28;IMG_5390.JPEG;.JPEG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Corrida : Torreau dans une arène;"Torreau saignent à cause des ""picadorès"" en Espagne.";Ondara · 9 aôut 2025;Culture
29;P1031928.JPG;.JPG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Reportage à Rungis : Dock de chargement;Lors d'un reportage sur la vie nocturne de Rungis, les camions sur les docks pour acheter leurs fruits et légumes.;Rungis · 9 décembre 2025;Société
30;P1031986.JPG;.JPG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Studio EFJ;Console de réalisateur d'émission dans le studio EFJ à Rapail 1.;Paris · 4 février 2026;EFJ
31;P1031987.JPG;.JPG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Studio EFJ;Console de régiseur d'émission dans le studio EFJ à Rapail 1.;Paris · 4 février 2026;EFJ
32;P1032031.JPG;.JPG;18/03/2026 15:29;C:\Users\align\OneDrive\Documents\blog\assets\images\;Emmaüs Défi : collecte de mobilier;Des personnes en insértion professionnelle d'Emmaüs Défi collecte des meubles chez un donnateur.;Paris · 5 février 2026;Société
33;;;;;;;;
34;;;;;;;;
35;;;;;;;;
36;;;;;;;;
37;;;;;;;;
38;;;;;;;;
39;;;;;;;;
40;;;;;;;;
41;;;;;;;;
42;;;;;;;;
43;;;;;;;;
44;;;;;;;;
45;;;;;;;;
46;;;;;;;;
47;;;;;;;;
48;;;;;;;;
49;;;;;;;;
50;;;;;;;;
